MyUnknownColumn,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore
214,male,group C,high school,standard,none,75,73,67
932,female,group C,some high school,standard,completed,47,59,61
834,male,group D,high school,free/reduced,completed,57,50,55
864,female,group B,some college,standard,none,70,65,65
561,female,group B,high school,free/reduced,completed,62,81,74
600,male,group C,high school,standard,none,62,47,48
213,male,group E,some college,standard,none,100,91,91
641,male,group B,some college,standard,none,45,42,41
581,female,group B,bachelor's degree,standard,none,82,100,99
586,female,group A,high school,standard,none,55,73,73
112,male,group D,high school,free/reduced,none,60,65,61
840,female,group B,some high school,free/reduced,none,39,39,40
784,female,group E,master's degree,standard,completed,84,89,88
48,male,group C,some college,free/reduced,completed,60,54,56
626,female,group A,high school,standard,none,43,51,46
533,female,group C,some high school,free/reduced,none,61,71,72
120,male,group C,master's degree,standard,completed,97,97,91
196,female,group E,some high school,standard,completed,87,76,86
820,male,group E,some college,free/reduced,none,73,72,64
62,female,group B,some high school,standard,none,45,60,53
997,male,group D,master's degree,free/reduced,none,72,73,71
382,female,group D,bachelor's degree,standard,completed,72,85,91
47,male,group D,high school,standard,none,70,59,56
178,male,group B,some high school,standard,completed,73,77,67
95,male,group C,some high school,standard,none,64,54,49
409,male,group E,some high school,free/reduced,none,62,53,52
273,male,group C,some college,standard,none,80,88,85
391,female,group B,master's degree,standard,completed,79,79,92
344,male,group E,some college,free/reduced,none,84,87,70
187,male,group D,associate's degree,standard,completed,69,71,79
86,male,group C,some college,free/reduced,completed,75,83,76
303,male,group B,some college,free/reduced,none,72,71,71
126,female,group D,associate's degree,standard,none,47,47,52
957,female,group C,associate's degree,standard,none,65,70,73
900,female,group D,associate's degree,standard,none,58,73,74
261,female,group E,some high school,free/reduced,none,62,65,70
619,female,group D,bachelor's degree,standard,none,90,94,99
843,male,group D,associate's degree,standard,completed,91,81,80
990,male,group C,some college,standard,completed,88,81,86
957,female,group C,bachelor's degree,standard,completed,78,93,94
570,female,group E,high school,free/reduced,none,48,55,49
346,male,group D,bachelor's degree,standard,none,83,84,83
116,male,group E,associate's degree,free/reduced,none,60,60,55
666,male,group D,some college,standard,none,71,60,64
839,male,group B,some high school,free/reduced,completed,49,53,48
600,male,group B,bachelor's degree,free/reduced,none,70,59,60
172,male,group B,associate's degree,free/reduced,none,67,65,61
360,female,group E,associate's degree,standard,none,55,68,61
747,male,group B,high school,standard,none,72,66,62
724,male,group C,high school,free/reduced,none,54,54,51
354,female,group D,some high school,standard,none,79,76,76
144,male,group B,associate's degree,free/reduced,none,38,52,43
364,male,group D,some college,standard,none,65,61,58
639,female,group D,some college,standard,none,49,67,62
652,male,group D,some high school,free/reduced,none,47,40,40
158,female,group D,high school,standard,none,46,47,49
68,male,group C,master's degree,standard,completed,95,85,90
303,female,group A,some college,standard,completed,57,65,64
95,male,group E,some high school,free/reduced,none,37,44,37
12,female,group B,associate's degree,free/reduced,completed,58,65,66
906,male,group C,some high school,standard,none,49,49,43
890,female,group A,some high school,standard,completed,85,88,94
773,male,group E,some college,standard,completed,73,75,70
889,female,group D,some high school,standard,completed,71,68,73
843,female,group E,high school,standard,completed,89,92,96
628,male,group D,associate's degree,standard,none,84,79,79
600,female,group C,high school,standard,none,62,71,66
67,female,group C,some college,free/reduced,none,48,58,62
879,male,group B,some high school,standard,none,65,59,53
690,male,group C,bachelor's degree,free/reduced,none,78,79,80
817,male,group C,high school,standard,none,59,63,58
921,male,group A,some high school,standard,none,70,66,55
869,male,group C,some college,standard,completed,61,65,65
951,male,group C,master's degree,standard,none,88,68,72
187,male,group D,associate's degree,free/reduced,none,89,81,80
636,female,group C,some high school,free/reduced,completed,56,70,69
546,female,group C,some college,standard,completed,80,90,95
467,male,group B,some high school,standard,completed,69,65,60
356,female,group D,master's degree,free/reduced,none,75,81,79
618,female,group B,high school,standard,none,64,65,64
3,female,group E,some college,standard,none,96,91,93
332,female,group C,associate's degree,standard,none,51,66,63
916,female,group C,some college,free/reduced,none,58,62,63
134,male,group C,some college,standard,none,78,82,78
617,male,group A,master's degree,standard,none,85,90,83
547,male,group D,master's degree,free/reduced,none,39,40,37
300,female,group D,some college,free/reduced,none,78,88,87
212,female,group C,high school,standard,none,79,91,85
112,female,group D,bachelor's degree,standard,none,100,98,100
782,female,group C,master's degree,standard,none,77,82,84
183,female,group B,high school,free/reduced,none,27,44,45
42,male,group D,some college,standard,none,63,55,62
4,female,group B,associate's degree,standard,none,76,75,80
36,male,group D,some high school,standard,none,51,40,46
448,female,group A,bachelor's degree,standard,none,74,90,83
318,female,group B,bachelor's degree,free/reduced,none,57,69,68
520,male,group C,bachelor's degree,standard,none,83,75,70
785,male,group C,associate's degree,free/reduced,completed,63,59,63
735,female,group E,some college,free/reduced,none,72,68,77
971,female,group C,associate's degree,standard,none,80,83,84
941,male,group B,high school,standard,none,34,38,36
287,male,group A,associate's degree,free/reduced,none,51,55,48
663,female,group C,some college,standard,none,62,63,61
155,male,group D,some college,free/reduced,none,73,63,61
253,male,group C,some high school,free/reduced,none,58,57,49
437,male,group E,associate's degree,standard,none,80,69,69
188,male,group D,some college,standard,none,59,52,49
769,male,group A,associate's degree,standard,completed,68,71,69
530,male,group D,bachelor's degree,free/reduced,none,73,63,70
234,female,group D,high school,standard,none,68,71,68
561,male,group A,some college,standard,none,67,61,57
948,male,group C,some college,standard,none,56,56,52
733,male,group A,associate's degree,free/reduced,none,78,74,77
535,male,group A,some college,standard,completed,81,73,74
46,female,group D,associate's degree,standard,none,81,84,86
627,female,group A,bachelor's degree,standard,none,59,50,57
0,female,group C,some college,free/reduced,none,44,62,59
929,male,group C,some high school,standard,completed,49,59,53
436,male,group B,associate's degree,free/reduced,none,77,80,80
16,female,group B,some college,standard,completed,40,54,55
948,female,group C,high school,free/reduced,completed,20,31,33
597,male,group D,some high school,standard,none,54,47,45
95,male,group C,associate's degree,free/reduced,completed,78,81,82
300,female,group C,some college,free/reduced,none,54,72,60
251,male,group B,associate's degree,standard,none,82,73,73
410,female,group A,some high school,free/reduced,none,34,50,45
951,male,group C,some high school,free/reduced,none,44,38,30
236,female,group B,bachelor's degree,standard,none,63,60,59
456,female,group D,associate's degree,free/reduced,completed,67,73,81
996,female,group D,associate's degree,standard,none,85,93,97
911,female,group C,some college,standard,completed,83,100,99
962,female,group E,associate's degree,standard,none,100,100,100
530,male,group C,some college,free/reduced,none,55,54,48
571,male,group D,some high school,free/reduced,none,60,58,55
968,female,group D,some high school,standard,none,68,73,84
86,male,group D,high school,standard,none,64,43,45
746,female,group D,high school,standard,completed,54,64,63
41,female,group D,some college,standard,completed,59,62,70
832,male,group A,master's degree,free/reduced,none,53,54,47
649,female,group C,bachelor's degree,standard,none,66,82,81
585,female,group B,associate's degree,standard,completed,65,70,74
307,female,group C,high school,free/reduced,none,45,54,53
233,female,group D,high school,standard,none,53,50,54
63,male,group E,associate's degree,standard,none,64,56,46
61,male,group E,high school,free/reduced,none,49,38,41
429,female,group D,master's degree,free/reduced,completed,61,76,78
821,male,group D,master's degree,free/reduced,none,55,50,54
299,male,group C,some high school,free/reduced,none,63,68,61
353,female,group B,some college,free/reduced,none,57,67,57
356,male,group B,associate's degree,free/reduced,completed,83,88,89
876,male,group B,some college,standard,completed,68,71,72
203,female,group D,high school,standard,none,54,56,60
869,male,group D,associate's degree,standard,none,82,74,79
851,male,group D,some high school,standard,none,64,62,53
625,female,group C,some college,free/reduced,none,53,55,52
686,female,group E,master's degree,standard,completed,90,93,86
41,female,group B,some high school,free/reduced,none,31,42,44
444,female,group B,some high school,standard,completed,45,39,54
150,female,group B,associate's degree,standard,none,57,66,68
458,female,group C,high school,free/reduced,completed,52,76,74
985,male,group B,some college,standard,none,74,74,63
589,female,group B,bachelor's degree,free/reduced,none,61,64,60
709,male,group A,some high school,standard,none,55,56,45
973,female,group A,associate's degree,standard,none,87,96,90
301,male,group B,some college,free/reduced,completed,81,77,78
707,female,group E,some college,free/reduced,completed,54,62,64
408,female,group A,bachelor's degree,standard,none,77,74,78
252,female,group C,some college,standard,completed,71,78,80
407,male,group E,high school,standard,none,94,70,69
541,female,group E,some high school,standard,completed,75,85,81
535,male,group C,bachelor's degree,standard,completed,82,76,79
114,male,group C,associate's degree,standard,none,81,81,79
435,female,group E,high school,standard,none,80,83,84
550,female,group B,some high school,free/reduced,completed,62,72,71
751,female,group D,some college,standard,none,73,78,82
40,female,group C,associate's degree,standard,none,90,83,89
112,female,group C,high school,standard,none,58,65,62
670,female,group D,bachelor's degree,standard,none,61,72,79
113,female,group D,master's degree,standard,completed,79,85,91
290,male,group A,high school,standard,completed,93,86,84
94,female,group C,some college,free/reduced,none,52,64,63
234,female,group C,bachelor's degree,standard,none,67,72,70
410,female,group D,master's degree,standard,completed,70,71,74
573,female,group B,some high school,standard,none,73,81,84
411,female,group B,high school,standard,none,58,71,67
932,male,group C,some college,standard,completed,85,77,73
192,male,group A,some high school,standard,none,69,68,55
154,male,group D,associate's degree,standard,completed,66,65,69
477,female,group C,high school,standard,completed,48,65,63
821,male,group B,some college,free/reduced,none,52,51,43
215,male,group B,high school,standard,none,67,70,70
331,male,group B,bachelor's degree,standard,none,78,71,67
732,female,group B,high school,standard,none,61,66,63
523,male,group C,some high school,free/reduced,none,59,62,52
266,female,group D,associate's degree,standard,completed,74,93,91
807,female,group C,some college,free/reduced,none,54,67,59
675,female,group C,some high school,free/reduced,none,42,53,56
32,male,group D,bachelor's degree,free/reduced,none,61,66,62
594,male,group C,high school,free/reduced,none,73,83,79
71,female,group D,bachelor's degree,standard,none,96,100,100
654,male,group B,some college,free/reduced,completed,56,47,53
561,female,group B,some high school,free/reduced,none,43,59,58
457,male,group D,associate's degree,free/reduced,none,81,84,83
722,male,group C,high school,standard,none,74,71,71
916,male,group C,some college,free/reduced,none,64,61,55
425,male,group D,high school,free/reduced,none,39,34,29
652,male,group B,associate's degree,standard,none,71,68,67
8,female,group E,bachelor's degree,standard,none,82,88,93
157,male,group C,master's degree,standard,none,97,91,86
251,female,group C,high school,standard,completed,58,57,61
935,male,group E,some college,standard,none,56,40,34
48,male,group A,high school,standard,none,84,59,64
455,female,group E,some high school,free/reduced,none,79,84,80
655,female,group B,high school,free/reduced,none,68,79,82
785,female,group D,high school,free/reduced,none,59,78,73
781,female,group E,high school,standard,completed,84,97,94
537,male,group B,some high school,free/reduced,completed,57,61,59
466,female,group A,high school,free/reduced,completed,71,83,88
77,female,group C,some high school,free/reduced,completed,60,75,74
365,female,group E,high school,free/reduced,none,90,87,83
628,female,group C,master's degree,standard,none,62,78,78
959,female,group D,some college,standard,none,71,78,79
993,male,group D,associate's degree,standard,none,100,89,87
67,female,group D,associate's degree,standard,completed,85,87,89
242,male,group C,some high school,standard,none,59,55,52
353,male,group A,some college,free/reduced,none,73,64,57
41,male,group C,some high school,standard,completed,64,66,63
828,male,group D,some high school,free/reduced,none,63,61,57
43,male,group C,some college,standard,completed,63,61,66
677,male,group E,some college,standard,none,75,67,65
762,female,group C,high school,standard,none,42,43,40
594,female,group C,bachelor's degree,standard,none,74,76,75
250,male,group E,some college,standard,completed,100,96,100
380,female,group A,high school,standard,none,81,89,87
135,male,group D,some high school,free/reduced,none,47,53,52
158,male,group C,some high school,standard,none,84,67,65
420,female,group B,high school,standard,none,65,66,73
115,female,group C,associate's degree,free/reduced,none,69,81,71
515,male,group C,some high school,free/reduced,completed,68,60,68
724,male,group C,master's degree,standard,none,61,53,58
393,female,group E,high school,standard,completed,78,73,85
97,female,group B,some college,standard,none,50,54,49
576,male,group C,associate's degree,standard,none,77,75,70
430,male,group E,master's degree,free/reduced,none,72,61,54
468,female,group C,associate's degree,free/reduced,none,58,65,69
30,female,group E,some high school,free/reduced,none,57,54,49
420,female,group A,associate's degree,standard,none,62,76,74
991,female,group D,associate's degree,free/reduced,none,56,63,58
152,female,group D,associate's degree,standard,none,76,77,84
792,female,group A,bachelor's degree,standard,none,45,59,61
628,male,group C,bachelor's degree,standard,none,78,64,59
514,female,group D,some college,standard,completed,46,51,63
389,male,group B,some college,standard,none,71,69,66
954,male,group A,some high school,standard,completed,49,49,50
951,male,group D,some college,free/reduced,none,71,58,53
949,male,group E,bachelor's degree,free/reduced,completed,95,89,93
289,female,group B,associate's degree,standard,none,67,84,84
327,female,group E,high school,standard,completed,72,88,88
369,female,group C,some college,standard,none,73,83,80
866,female,group B,associate's degree,standard,completed,64,83,81
488,male,group D,master's degree,standard,completed,73,79,82
781,male,group D,some college,standard,none,56,54,51
562,female,group E,master's degree,standard,none,80,72,72
399,male,group C,some high school,standard,none,79,73,75
462,male,group B,some high school,free/reduced,completed,59,49,49
940,female,group E,bachelor's degree,standard,completed,89,100,100
240,male,group E,some high school,free/reduced,completed,76,71,66
720,male,group B,high school,standard,completed,63,62,62
871,male,group C,bachelor's degree,standard,none,95,85,82
94,male,group D,high school,standard,completed,81,81,80
229,female,group D,associate's degree,standard,completed,95,100,100
595,female,group E,some high school,standard,none,61,79,73
858,female,group C,some college,standard,completed,37,68,63
507,male,group E,bachelor's degree,free/reduced,none,50,49,48
251,male,group B,master's degree,standard,none,66,59,58
872,female,group C,some high school,free/reduced,none,68,90,79
654,male,group B,high school,standard,none,84,78,64
463,male,group A,some high school,free/reduced,none,47,39,37
425,male,group D,associate's degree,free/reduced,none,58,56,50
584,male,group B,some college,standard,none,75,73,79
144,female,group D,associate's degree,free/reduced,completed,75,86,88
978,male,group E,some high school,standard,none,76,66,62
478,female,group C,associate's degree,standard,completed,68,76,74
689,male,group D,some college,free/reduced,none,55,44,42
880,male,group B,associate's degree,standard,none,49,40,43
418,male,group B,high school,standard,none,65,56,55
87,female,group C,some high school,free/reduced,none,39,49,48
472,female,group C,associate's degree,free/reduced,none,38,58,54
149,male,group B,associate's degree,free/reduced,none,76,78,74
863,male,group C,high school,standard,none,66,60,52
522,female,group D,some college,free/reduced,none,70,91,81
825,male,group C,bachelor's degree,free/reduced,completed,67,58,63
717,female,group A,some college,standard,none,57,61,64
978,male,group C,master's degree,free/reduced,none,88,84,85
474,female,group A,some high school,free/reduced,none,46,54,54
610,male,group D,some college,free/reduced,completed,69,60,63
982,female,group A,some high school,standard,none,57,66,62
545,female,group D,high school,standard,completed,84,98,96
542,male,group C,associate's degree,standard,none,58,59,58
49,female,group D,high school,standard,completed,63,75,72
365,male,group A,some college,standard,completed,78,68,66
643,female,group E,high school,standard,completed,74,79,80
465,female,group D,some high school,standard,completed,88,99,100
229,male,group D,some college,standard,none,82,67,73
52,female,group D,bachelor's degree,free/reduced,none,70,90,88
965,female,group D,bachelor's degree,standard,completed,91,97,100
2,female,group C,some high school,standard,none,65,79,72
196,male,group B,associate's degree,free/reduced,completed,61,63,61
893,female,group C,associate's degree,standard,none,62,71,74
74,female,group C,some college,standard,none,48,53,58
347,male,group C,associate's degree,standard,completed,69,65,62
711,male,group C,some college,standard,completed,79,82,84
445,male,group C,some college,standard,completed,97,84,89
901,male,group C,high school,standard,none,56,56,47
170,male,group D,high school,free/reduced,completed,75,75,74
849,male,group E,high school,standard,none,89,87,79
569,female,group B,bachelor's degree,standard,completed,80,94,91
358,female,group D,bachelor's degree,standard,completed,90,100,100
788,female,group A,associate's degree,standard,completed,71,79,79
615,male,group D,some high school,standard,none,65,55,49
117,male,group B,associate's degree,standard,none,58,51,47
521,female,group C,associate's degree,standard,none,73,87,81
291,male,group D,high school,free/reduced,none,49,55,53
63,male,group C,high school,free/reduced,none,48,53,42
561,female,group A,some college,free/reduced,none,63,74,72
371,male,group D,some college,free/reduced,none,66,65,58
467,male,group C,high school,free/reduced,none,68,70,65
861,female,group B,high school,standard,completed,85,98,98
489,female,group C,high school,free/reduced,completed,83,92,91
915,male,group B,master's degree,free/reduced,none,61,65,59
122,male,group D,some college,free/reduced,none,80,75,78
788,female,group D,master's degree,standard,completed,79,96,98
740,male,group C,some high school,standard,none,67,61,60
360,female,group B,high school,standard,none,58,62,59
818,male,group D,some college,standard,none,55,50,51
701,female,group E,associate's degree,standard,none,92,98,94
915,male,group C,some high school,standard,completed,66,67,64
603,female,group D,bachelor's degree,free/reduced,completed,62,78,84
202,female,group D,bachelor's degree,free/reduced,none,71,81,86
109,female,group D,high school,standard,none,63,78,79
896,male,group D,some college,standard,none,65,70,67
428,male,group B,master's degree,free/reduced,none,49,54,53
871,female,group D,some college,standard,completed,73,82,85
808,female,group C,associate's degree,free/reduced,none,71,74,69
936,male,group D,associate's degree,free/reduced,none,57,53,59
146,male,group C,high school,standard,none,69,60,57
980,male,group A,associate's degree,free/reduced,none,68,63,58
476,female,group A,some college,free/reduced,none,59,61,63
14,female,group D,associate's degree,standard,none,84,90,88
528,female,group E,some college,standard,completed,89,100,99
565,male,group B,master's degree,standard,none,72,69,72
972,female,group C,some college,standard,none,59,63,61
595,male,group E,associate's degree,free/reduced,completed,92,96,93
133,male,group C,associate's degree,free/reduced,completed,92,87,82
780,female,group D,associate's degree,free/reduced,none,61,68,75
523,female,group B,some college,free/reduced,none,60,73,68
658,male,group B,associate's degree,free/reduced,none,47,48,42
412,male,group D,high school,standard,none,93,77,78
539,male,group B,bachelor's degree,standard,none,97,82,85
185,female,group A,some high school,standard,none,73,80,78
502,female,group B,some high school,standard,none,50,55,49
192,female,group B,some college,free/reduced,none,22,40,35
130,male,group C,high school,standard,none,78,70,69
731,male,group A,master's degree,free/reduced,none,56,56,56
389,male,group C,master's degree,standard,completed,78,76,78
2,male,group D,high school,free/reduced,none,55,57,53
374,female,group D,associate's degree,free/reduced,none,55,67,63
432,female,group C,high school,standard,completed,86,91,92
381,male,group C,associate's degree,standard,completed,87,87,85
266,female,group B,high school,free/reduced,completed,41,57,59
703,female,group D,associate's degree,free/reduced,none,66,82,83
701,female,group C,associate's degree,free/reduced,none,43,54,57
883,female,group C,some high school,standard,none,70,90,83
504,female,group C,some college,standard,completed,60,74,75
974,male,group D,associate's degree,standard,completed,78,71,74
346,female,group D,some high school,standard,completed,64,88,85
824,male,group D,high school,free/reduced,none,51,51,46
488,male,group C,some college,free/reduced,none,44,50,47
651,female,group C,some college,standard,none,74,88,83
594,female,group D,high school,standard,completed,64,72,81
734,female,group E,some college,standard,none,66,74,71
515,male,group D,some college,free/reduced,none,40,43,41
580,female,group B,associate's degree,standard,none,76,78,81
328,male,group B,master's degree,standard,completed,97,92,96
849,female,group C,master's degree,standard,none,86,85,92
444,female,group C,associate's degree,free/reduced,none,59,73,73
484,male,group C,some college,standard,none,61,61,55
507,male,group D,high school,free/reduced,none,49,37,41
761,female,group D,associate's degree,standard,none,80,80,87
580,male,group D,some college,standard,completed,80,76,83
566,male,group C,associate's degree,free/reduced,none,42,48,44
108,female,group C,bachelor's degree,free/reduced,none,55,68,68
336,male,group E,some high school,free/reduced,completed,86,79,80
223,male,group D,some high school,free/reduced,none,57,50,50
468,female,group B,bachelor's degree,standard,none,67,77,79
422,male,group B,high school,free/reduced,none,49,52,49
151,female,group C,associate's degree,standard,none,62,68,60
621,female,group C,high school,standard,completed,76,89,92
387,male,group C,bachelor's degree,free/reduced,none,59,55,46
685,female,group D,some high school,standard,completed,86,100,100
446,male,group D,some college,standard,none,82,78,72
939,male,group C,some high school,standard,completed,80,80,76
702,female,group C,some college,free/reduced,none,44,59,60
102,female,group B,associate's degree,standard,none,62,72,69
164,female,group D,high school,free/reduced,none,72,86,82
432,female,group C,high school,free/reduced,none,60,68,64
45,female,group B,high school,standard,none,85,94,90
873,female,group D,bachelor's degree,free/reduced,completed,66,72,81
796,female,group C,high school,free/reduced,completed,45,63,69
778,female,group B,some college,free/reduced,none,43,50,50
566,male,group D,associate's degree,standard,none,62,52,51
990,female,group B,high school,free/reduced,none,42,57,57
662,female,group E,some college,free/reduced,none,71,69,68
513,male,group C,some high school,standard,none,56,46,42
550,male,group B,some high school,free/reduced,none,37,37,32
340,female,group E,some high school,standard,none,90,88,87
583,female,group D,associate's degree,standard,none,60,51,61
725,female,group C,high school,standard,none,65,77,69
710,male,group C,some college,standard,none,62,64,62
488,female,group C,some college,standard,none,53,64,62
536,female,group E,associate's degree,standard,none,68,69,67
804,male,group E,some college,standard,none,93,81,84
238,male,group A,some high school,standard,completed,83,86,83
732,male,group C,bachelor's degree,standard,completed,83,84,82
319,female,group C,some high school,free/reduced,completed,48,66,60
173,female,group C,high school,standard,none,81,77,81
336,male,group D,high school,free/reduced,none,77,68,64
879,male,group E,some high school,standard,none,80,77,73
235,male,group C,associate's degree,standard,none,59,55,57
427,female,group D,high school,standard,completed,79,80,81
882,female,group C,bachelor's degree,free/reduced,completed,83,95,99
358,male,group B,master's degree,standard,none,49,47,43
257,female,group B,master's degree,standard,none,68,88,85
99,male,group D,master's degree,standard,completed,82,67,77
394,female,group B,associate's degree,standard,none,54,58,56
618,female,group A,some high school,standard,none,69,76,78
990,female,group B,some high school,standard,none,82,85,86
536,female,group E,some high school,standard,none,72,78,78
985,female,group E,high school,free/reduced,none,81,84,86
598,female,group C,some college,standard,none,74,85,81
860,male,group E,high school,free/reduced,completed,84,70,67
705,female,group C,some college,standard,none,74,72,81
536,female,group A,high school,free/reduced,completed,61,67,63
739,male,group B,some college,free/reduced,none,55,57,50
470,male,group D,some college,standard,none,51,43,40
560,male,group D,some college,standard,completed,76,86,82
700,female,group E,some high school,standard,none,70,71,66
31,female,group B,associate's degree,standard,none,56,65,63
189,female,group E,associate's degree,free/reduced,none,78,71,74
781,female,group B,associate's degree,standard,none,87,93,91
150,male,group C,high school,free/reduced,none,61,63,57
408,female,group C,some college,free/reduced,none,52,59,66
943,male,group C,bachelor's degree,standard,none,66,63,61
886,female,group D,some college,standard,none,86,89,86
749,male,group C,some college,free/reduced,none,60,56,50
726,male,group D,high school,standard,none,61,56,54
325,female,group E,some high school,standard,none,62,65,62
283,male,group B,associate's degree,standard,completed,75,82,84
709,male,group C,some college,standard,none,56,51,51
966,male,group A,some college,standard,completed,80,76,77
584,female,group D,some college,standard,none,69,77,77
780,female,group E,some college,free/reduced,none,50,54,57
244,female,group A,high school,standard,none,80,77,77
369,male,group C,bachelor's degree,standard,completed,80,71,71
22,female,group B,some college,free/reduced,completed,70,78,82
658,male,group C,some college,free/reduced,completed,75,72,72
169,male,group C,some high school,standard,completed,79,81,83
318,male,group D,some high school,free/reduced,none,55,56,54
76,female,group C,associate's degree,standard,completed,59,71,73
988,male,group E,some high school,standard,completed,50,54,46
188,male,group A,some high school,standard,completed,93,91,89
912,female,group C,high school,standard,none,53,65,61
722,male,group D,associate's degree,free/reduced,none,81,76,70
389,male,group D,high school,standard,none,84,79,73
198,male,group D,bachelor's degree,free/reduced,none,65,72,63
20,female,group B,master's degree,standard,completed,87,100,100
125,female,group D,some college,free/reduced,none,58,60,62
930,male,group D,associate's degree,free/reduced,completed,74,71,70
912,female,group C,high school,free/reduced,none,52,60,54
490,female,group C,high school,free/reduced,none,64,71,70
122,male,group A,some college,standard,none,73,63,60
20,female,group A,master's degree,free/reduced,completed,50,62,65
261,male,group B,associate's degree,free/reduced,none,66,71,68
534,female,group C,bachelor's degree,free/reduced,none,51,55,56
483,male,group A,high school,standard,none,59,52,46
41,female,group C,high school,standard,none,84,90,85
707,male,group C,some college,standard,none,66,59,52
716,male,group E,high school,standard,completed,59,50,54
344,female,group A,some college,standard,none,75,71,72
417,male,group C,associate's degree,standard,none,95,89,84
233,male,group C,associate's degree,free/reduced,completed,83,88,86
136,female,group B,associate's degree,free/reduced,none,57,72,62
378,male,group E,some college,standard,none,81,56,53
639,male,group D,high school,free/reduced,completed,51,53,49
370,female,group C,high school,standard,none,46,62,61
522,male,group E,bachelor's degree,standard,none,79,86,70
903,female,group B,some high school,standard,none,60,68,63
577,female,group B,high school,standard,none,81,91,89
